Couldn't open C:\dev\Godot/godot.windows.opt.tools.64.pck
Couldn't open godot.windows.opt.tools.64.pck
OpenGL ES 3.0 Renderer: Intel(R) Iris(TM) Graphics 540
GLES3: max ubo light: 409
GLES3: max ubo reflections: 455, ubo size: 144
Registered interface Native mobile
(63.003201, 64.993286)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.003201, 65.271065)
(63.14209, 65.400284)
(63.419868, 65.400284)
(63.836533, 65.400291)
(64.39209, 65.400291)
(65.086533, 65.400291)
(65.919861, 65.400291)
(66.89209, 65.400299)
(67.594254, 65.400299)
(68.101364, 65.400299)
(68.467613, 65.356606)
(68.732124, 65.359924)
(68.923157, 65.356956)
(69.061127, 65.357765)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.160774, 65.3563)
(69.29966, 65.354904)
(69.577438, 65.355087)
(69.99411, 65.354324)
(70.549667, 65.354134)
(71.24411, 65.3536)
(72.077438, 65.353264)
(73.049667, 65.352814)
(74.160782, 65.352432)
(75.410782, 65.390427)
(76.799667, 65.367302)
(78.327446, 65.400238)
(79.43084, 65.400291)
(80.227737, 65.400291)
(80.803276, 65.400291)
(81.218941, 65.400291)
(81.519142, 65.400291)
(81.735954, 65.400291)
(81.89254, 65.400291)
(82.00563, 65.400299)
(82.00563, 65.400299)
(82.00563, 65.400299)
